stage,time,monsterInfo,line
1,10,2,1
1,19,1,0
1,24,1,0
1,28,5,0
1,33,7,0
1,40,7,3
1,50,3,1
1,56,3,3
1,70,first,1
1,71,1,1
1,71,2,2
1,71,1,4
1,72,2,1
1,72,2,2
1,73,3,4
1,75,1,1
1,76,1,1
1,80,6,1
1,81,5,2
1,83,6,4
1,90,7,1
1,90.5,7,2
1,91,7,4
1,110,3,0
1,113,3,0
1,120,2,3
1,125,5,3
1,126,5,0
1,133,6,3
1,151,second,1
1,152,5,0
1,152,5,2
1,153,5,4
1,153,3,3
1,155,3,1
1,160,6,2
1,160,6,3
1,160,6,0
1,165,7,3
1,165,7,4
1,169,7,0
1,174,6,2
1,174,3,1
1,178,7,1
2,10,0,0
2,15,1,0
2,20,1,0
2,27,3,4
2,33,2,2
2,37,8,2
2,45,3,0
2,65,first,1
2,65,0,3
2,66,1,3
2,66,3,0
2,67,4,2
2,67,2,3
2,67,8,2
2,69,5,3
2,69,6,4
2,70,1,4
2,70,4,3
2,70,5,2
2,75,8,4
2,80,3,0
2,91,5,3
2,92,6,3
2,100,4,4
2,103,4,4
2,120,3,4
2,130,second,1
2,131,0,1
2,132,0,1
2,132,3,0
2,133,7,0
2,134,1,1
2,136,6,1
2,136,3,0
2,142,3,0
2,142,1,1
2,142,3,2
2,142,1,3
2,142,3,4
2,150,8,1
2,150,8,3
3,10,2,0
3,22,1,4
3,25,5,4
3,31,5,2
3,35,6,2
3,42,1,2
3,47,7,2
3,56,5,2
3,70,first,1
3,71,1,0
3,73,3,4
3,73,7,1
3,75,7,4
3,80,3,0
3,80,3,2
3,81,3,3
3,81,3,4
3,85,2,0
3,90,3,1
3,91,1,3
3,92,6,4
3,94,8,2
3,114,5,0
3,116,5,1
3,118,5,2
3,120,5,3
3,122,5,4
3,142,second,1
3,143,2,0
3,143,3,1
3,143,2,2
3,143,3,3
3,143,2,4
3,147,7,2
3,148,7,1
3,148,7,3
3,152,7,2
3,160,6,4
3,161,8,1
4,10,3,2
4,14,0,1
4,24,1,0
4,29,1,3
4,30,2,1
4,40,3,3
4,52,5,3
4,53,8,3
4,70,first,1
4,70,3,1
4,73,8,1
4,74,1,3
4,75,3,3
4,75.5,4,3
4,76.8,5,3
4,77,6,1
4,80,8,2
4,85,3,4
4,87,3,4
4,88,6,4
4,92,7,0
4,105,8,1
4,111,8,4
4,120,8,2
4,135,second,1
4,136,1,0
4,138,6,0
4,138,8,2
4,140,7,1
4,141,7,0
4,141,7,3
4,153,3,1
4,153,3,2
4,154,5,2
4,154.7,7,1
4,156,3,0
4,156,6,4
4,156,8,3
4,160,3,3
4,162,3,4
