stage,time,monsterInfo,line
1,5,0,2
1,15,0,3
1,25,0,2
1,40,first,1
1,40,0,0
1,42,0,3
1,42,0,4
1,43,0,1
1,45.2,0,2
1,69,0,1
1,80,0,1
1,90,second,0
1,90.5,0,1
1,91,0,3
1,92,0,2
1,95,0,4
1,98,0,4
2,5,0,0
2,15,1,0
2,21,0,1
2,35,0,4
2,48,1,0
2,60,first,1
2,60,0,0
2,61,0,2
2,61.5,1,3
2,62,0,2
2,64.5,0,0
2,66,1,0
2,84,0,0
2,100,1,3
2,120,second,1
2,120,1,3
2,121,0,1
2,121.7,0,1
2,123,1,4
2,125,0,4
2,126,0,4
3,5,2,1
3,20,0,3
3,30,0,1
3,39,0,1
3,59,first,1
3,60,1,0
3,60,0,4
3,61,0,0
3,61.5,1,2
3,62,2,4
3,62.5,1,3
3,64,0,4
3,79,2,3
3,95,0,1
3,97,1,3
3,118,second,1
3,118,0,0
3,120,1,0
3,121,0,0
3,121.5,2,3
3,122.5,2,3
3,123,0,4
3,123,1,2
3,123.5,1,4
3,123.5,2,2
4,5,1,1
4,9,1,1
4,15,0,0
4,30,0,4
4,50,1,3
4,67,first,1
4,68,0,2
4,69,2,0
4,69.5,2,2
4,70.3,2,2
4,73,1,4
4,74,0,3
4,75,5,0
4,77,5,1
4,90,5,0
4,106,0,1
4,109,5,1
4,125,second,1
4,125.5,2,0
4,126,1,1
4,127,2,2
4,128,1,3
4,129,5,4
4,129.6,5,4
4,132,2,3
4,132,1,2
4,133,0,0
4,134,0,0
4,134,5,1
4,134,5,2
4,134.5,5,3
4,135,5,4
5,7,5,4
5,10,0,1
5,13.5,0,1
5,15,1,1
5,20,2,3
5,24,1,3
5,25,5,3
5,33,1,0
5,48,first,0
5,48,0,2
5,48,0,4
5,49,1,2
5,49,2,4
5,50,2,4
5,50.5,1,3
5,51,2,0
5,52,0,4
5,52.5,5,4
5,53,5,2
5,53,5,0
5,54,5,1
5,70,0,3
5,79,5,3
5,88,1,1
5,97,2,4
5,106,5,4
5,110,2,0
5,127.7,second,1
5,128,0,0
5,129,0,0
5,129.7,1,0
5,131,2,0
5,131,1,3
5,131.5,2,3
5,133,0,3
5,133.5,2,2
5,133.5,5,0
5,135,2,4
5,135,5,3
5,136,5,1
5,137,5,2
5,139,0,3
5,140,5,4
