stage,time,monsterInfo,line
1,5,0,2
1,15,0,3
1,25,0,2
1,40,first,1
1,40,0,0
1,42,0,3
1,42,0,4
1,43,0,1
1,45.2,0,2
1,69,0,1
1,80,0,1
1,90,second,0
1,90.5,0,1
1,91,0,3
1,92,0,2
1,95,0,4
1,98,0,4
2,5,0,0
2,15,1,0
2,21,0,1
2,35,0,4
2,48,1,0
2,60,first,1
2,60,0,0
2,61,0,2
2,61.5,1,3
2,62,0,2
2,64.5,0,0
2,66,1,0
2,84,0,0
2,100,1,3
2,120,second,1
2,120,1,3
2,121,0,1
2,121.7,0,1
2,123,1,4
2,125,0,4
2,126,0,4
3,5,2,1
3,20,0,3
3,30,0,1
3,39,0,1
3,59,first,1
3,60,1,0
3,60,0,4
3,61,0,0
3,61.5,1,2
3,62,2,4
3,62.5,1,3
3,64,0,4
3,79,2,3
3,95,0,1
3,97,1,3
3,118,second,1
3,118,0,0
3,120,1,0
3,121,0,0
3,121.5,2,3
3,122.5,2,3
3,123,0,4
3,123,1,2
3,123.5,1,4
3,123.5,2,2
